X;Y;fijacion;modelo;nomcalle;portal;barrio;leyenda_mo;codigo;observ;distritos
724936.714;4376055.091;;;;;;;601;;
724954.362;4376055.091;;;;;;;602;;
724924.294;4376133.528;;;;;;;603;;
724926.909;4376196.93099999987;;;;;;;604;;
724919.719;4376235.496;;;;;;;605;;
724902.724;4376237.457;;;;;;;606;;
724901.417;4376274.71499999985;;;;;;;607;;
724910.568;4376316.548;;;;;;;608;;
724847.165;4376434.85699999984;;;;;;;609;;
724490.996;4377069.166;;;;;;;610;;
724285.94;4374272.991;;;;;;;611;;
724237.301;4374300.329;;;;;;;612;;
724171.638;4374312.974;;;;;;;613;;
724275.673;4374212.245;;;;;;;614;;
724291.195;4374190.257;;;;;;;615;;
724253.038;4374168.268;;;;;;;616;;
724232.343;4374185.08299999963;;;;;;;617;;
724200.008;4374165.68099999987;;;;;;;618;;
724143.097;4374155.98099999968;;;;;;;619;;
724111.594;4374211.497;;;;;;;620;;
724070.018;4374231.64699999988;;;;;;;621;;
724090.066;4374188.963;;;;;;;622;;
724108.821;4374165.682;;;;;;;623;;
724132.749;4374123.64499999955;;;;;;;624;;
724150.857;4374125.585;;;;;;;625;;
724041.562;4374193.49;;;;;;;626;;
724035.742;4374160.508;;;;;;;627;;
724011.813;4374176.029;;;;;;;628;;
723974.95;4374154.041;;;;;;;629;;
723938.088;4374128.819;;;;;;;630;;
724031.402;4374052.074;;;;;;;631;;
724062.523;4374097.188;;;;;;;632;;
724486.1;4377097.93099999987;;;;;;;633;;
724438.974;4377080.182;;;;;;;634;;
724376.547;4377084.466;;;;;;;635;;
724359.41;4377083.24199999962;;;;;;;636;;
724290.863;4377113.84399999958;;;;;;;637;;
724228.437;4377071.614;;;;;;;638;;
724264.546;4377201.97599999979;;;;;;;639;;
724306.164;4377206.872;;;;;;;640;;
724368.591;4377282.15099999961;;;;;;;644;;
724407.761;4377259.506;;;;;;;645;;
724446.93;4377255.222;;;;;;;646;;
724489.772;4377257.058;;;;;;;647;;
724516.089;4377231.96499999985;;;;;;;648;;
724502.625;4377170.762;;;;;;;649;;
724625.03;4377237.473;;;;;;;650;;
725448.818;4377314.588;;;;;;;651;;
725549.191;4377351.309;;;;;;;653;;
725568.164;4377319.484;;;;;;;654;;
725561.431;4377288.27;;;;;;;655;;
725300.708;4377456.57799999975;;;;;;;656;;
725222.981;4377455.966;;;;;;;657;;
725245.014;4377431.485;;;;;;;658;;
725254.806;4377418.02;;;;;;;659;;
725211.964;4377381.29899999965;;;;;;;660;;
725227.877;4377313.97599999979;;;;;;;661;;
725410.261;4377555.72599999979;;;;;;;662;;
725544.295;4377506.764;;;;;;;663;;
724696.094;4378556.541;;;;;;;664;;
724697.862;4378608.41299999971;;;;;;;665;;
724693.837;4378735.55;;;;;;;669;;
724754.169;4378684.916;;;;;;;670;;
724760.289;4378722.86199999973;;;;;;;671;;
724755.393;4378765.092;;;;;;;672;;
724782.934;4378821.398;;;;;;;673;;
724804.967;4378860.568;;;;;;;674;;
724708.267;4378815.89;;;;;;;675;;
724661.753;4378868.524;;;;;;;676;;
724645.228;4378787.125;;;;;;;677;;
724514.254;4378787.125;;;;;;;678;;
724811.309;4378890.85;;;;;;;680;;
724716.393;4378949.38;;;;;;;681;;
724834.802;4378891.001;;;;;;;682;;
724877.186;4378896.065;;;;;;;683;;
724950.63;4378900.962;;;;;;;684;;
724984.903;4378902.18599999975;;;;;;;685;;
724919.033;4378865.81099999975;;;;;;;686;;
724879.022;4378826.29399999976;;;;;;;687;;
